en-US,es-ES,pt-PT,fr-FR,de-DE,nl-NL,ga-IE,ru-RU,he-IL,hi-IN,ja-JP,zh-CN
Dominican Republic,República Dominicana,República Dominicana,République dominicaine,Dominikanische Republik,Dominicaanse Republiek,An Phoblacht Dhoiminiceach,Доминиканская Республика,הרפובליקה הדומיניקנית,डॉमिनिकन गणराज्य,ドミニカ共和国,多米尼加共和国
Ecuador,Ecuador,Equador,Équateur,Ecuador,Ecuador,Eacuadór,Эквадор,אקוודור,इक्वेडोर,エクアドル,厄瓜多尔
Egypt,Egipto,Egito,Égypte,Ägypten,Egypte,An Éigipt,Египет,מצרים,मिस्र,エジプト,埃及
El Salvador,El Salvador,El Salvador,Salvador,El Salvador,El Salvador,An tSalvadóir,Сальвадор,אל סלבדור,अल साल्वाडोर,エルサルバドル,萨尔瓦多
Equatorial Guinea,Guinea Ecuatorial,Guiné Equatorial,Guinée équatoriale,Äquatorialguinea,Equatoriaal-Guinea,An Ghuine Mheánchósta,Экваториальная Гвинея,גינאה המשוונית,इक्वेटोरियल गिनी,赤道ギニア,赤道几内亚
Eritrea,Eritrea,Eritreia,Érythrée,Eritrea,Eritrea,An Eiritré,Эритрея,אריתריאה,इरिट्रिया,エリトリア,厄立特里亚
Estonia,Estonia,Estónia,Estonie,Estland,Estland,An Eastóin,Эстония,אסטוניה,एस्टोनिया,エストニア,爱沙尼亚
Ethiopia,Etiopía,Etiópia,Éthiopie,Äthiopien,Ethiopië,An Aetóip,Эфиопия,אתיופיה,इथियोपिया,エチオピア,埃塞俄比亚
Falkland Islands,Islas Malvinas,Ilhas Falkland,Îles Falkland,Falklandinseln,Falklandeilanden,Oileáin Fháclainne,Фолклендские острова,איי פוקלנד,फ़ॉकलैंड द्वीपसमूह,フォークランド諸島,福克兰群岛
Fiji,Fiji,Fiji,Fidji,Fidschi,Fiji,Fidsí,Фиджи,פיג׳י,फ़िजी,フィジー,斐济
Finland,Finlandia,Finlândia,Finlande,Finnland,Finland,An Fhionlann,Финляндия,פינלנד,फ़िनलैंड,フィンランド,芬兰
France,Francia,França,France,Frankreich,Frankrijk,An Fhrainc,Франция,צרפת,फ़्रांस,フランス,法国
French Guiana,Guayana Francesa,Guiana Francesa,Guyane française,Französisch-Guayana,Frans-Guyana,Guáin na Fraince,Французская Гвиана,גיאנה הצרפתית,फ़्रेंच गयाना,仏領ギアナ,法属圭亚那
French Polynesia,Polinesia Francesa,Polinésia Francesa,Polynésie française,Französisch-Polynesien,Frans-Polynesië,Polainéis na Fraince,Французская Полинезия,פולינזיה הצרפתית,फ़्रेंच पोलिनेशिया,フランス領ポリネシア,法属波利尼西亚
Gabon,Gabón,Gabão,Gabon,Gabun,Gabon,An Ghabúin,Габон,גבון,गैबॉन,ガボン,加蓬
Gambia,Gambia,Gâmbia,Gambie,Gambia,Gambia,An Ghaimbia,Гамбия,גמביה,गाम्बिया,ガンビア,冈比亚
Georgia,Georgia,Geórgia,Géorgie,Georgien,Georgië,An tSeoirsia,Грузия,גרוזיה,जॉर्जिया,グルジア,格鲁吉亚
Germany,Alemania,Alemanha,Allemagne,Deutschland,Duitsland,An Ghearmáin,Германия,גרמניה,जर्मनी,ドイツ,德国
Ghana,Ghana,Gana,Ghana,Ghana,Ghana,Gána,Гана,גאנה,घाना,ガーナ,加纳
Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Giobráltar,Гибралтар,גיברלטר,जिब्राल्टर,ジブラルタル,直布罗陀
Greece,Grecia,Grécia,Grèce,Griechenland,Griekenland,An Ghréig,Греция,יוון,यूनान,ギリシャ,希腊
Greenland,Groenlandia,Gronelândia,Groenland,Grönland,Groenland,An Ghraonlainn,Гренландия,גרינלנד,ग्रीनलैंड,グリーンランド,格陵兰
Grenada,Granada,Granada,Grenade,Grenada,Grenada,Grenada Grenada,Гренада,גרנדה,ग्रेनाडा,グレナダ,格林纳达
Guadeloupe,Guadalupe,Rio Guadalupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadalúip,Гваделупа,גוואדלופ,गुआदेलूप,グアドループ,瓜德罗普
Guam,Guam,Rio Guam,Guam,Guam,Guam,An Guam,Гуам,גואם,गुआम,グアム,关岛
Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatamala,Гватемала,גואטמלה,ग्वाटेमाला,グアテマラ,危地马拉
Guinea,Guinea,Guiné,Guinée,Guinea,Guinee,An Ghuine,Гвинея,גינאה,गिनी,ギニア,几内亚
Guinea-Bissau,Guinea-Bissau,Guiné-Bissau,Guinée-Bissau,Guinea-Bissau,Guinee-Bissau,An Ghuine-Bissau,Гвинея-Бисау,גינאה ביסאו,गिनी-बिसाऊ,ギニアビサウ,几内亚比绍
Guyana,Guyana,Guiana,Guyana,Guyana,Guyana,An Ghuáin,Гайана,גיאנה,गयाना,ガイアナ,圭亚那
Haiti,Haití,Haiti,Haïti,Haiti,Haïti,Háítí,Гаити,האיטי,हैती,ハイチ,海地
Holy See,Santa Sede,Santa Sé,Saint-Siège,Hl. Stuhl,Heilige Stoel,Suí Naofa,Святой Престол,הכס הקדוש,पवित्र देखें,ホーリー シー,教廷
Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Hondúras,Гондурас,הונדורס,होंडुरास,ホンジュラス,洪都拉斯
Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hongkong,Hongkong,Hong Cong,Гонконг,הונג קונג,हांग कांग,香港,香港
Hungary,Hungría,Hungria,Hongrie,Ungarn,Hongarije,An Ungáir,Венгрия,הונגריה,हंगरी,ハンガリー,匈牙利
Iceland,Islandia,Islândia,Islande,Island,IJsland,An Íoslainn,Исландия,איסלנד,आइसलैंड,アイスランド,冰岛
India,India,Índia,Inde,Indien,India,An India,Индия,הודו,भारत,インド,印度
Indonesia,Indonesia,Indonésia,Indonésie,Indonesien,Indonesië,An Indinéis,Индонезия,אינדונזיה,इंडोनेशिया,インドネシア,印度尼西亚
Iran,Irán,Irão,Iran,Iran,Iran,An Iaráin,Иран,איראן,ईरान,イラン,伊朗
Iraq,Irak,Iraque,Irak,Irak,Irak,An Iaráic,Ирак,עיראק,इराक,イラク,伊拉克
Ireland,Irlanda,Irlanda,Irlande,Irland,Ierland,Éire,Ирландия,אירלנד,आयरलैंड,アイルランド,爱尔兰
Isle of Man,Isla de Man,Ilha de Man,Île de Man,Isle of Man,Eiland Man,Eilean Mhanainn,Остров Мэн,האי מאן,आइल ऑफ मैन,マン島,马纳岛
Israel,Israel,Israel,Israël,Israel,Israël,Iosrael,Израиль,ישראל,इज़राइल,イスラエル,以色列
Italy,Italia,Itália,Italie,Italien,Italië,An Iodáil,Италия,איטליה,इटली,イタリア,意大利
Jamaica,Jamaica,Jamaica,Jamaïque,Jamaika,Jamaica,Iamáice,Ямайка,ג\'מייקה,जमैका,ジャマイカ,牙买加
Japan,Japón,Japão,Japon,Japan,Japan,An tSeapáin,Япония,יפן,जापान,日本,日本
Jordan,Jordania,Jordânia,Jordanie,Jordanien,Jordanië,An Iordáin,Иордания,ירדן,जॉर्डन,ヨルダン,约旦
Kazakhstan,Kazajstán,Cazaquistão,Kazakhstan,Kasachstan,Kazachstan,An Chasacstáin,Казахстан,קזחסטן,कज़ाकस्तान,カザフスタン,哈萨克斯坦
Kenya,Kenia,Quénia,Kenya,Kenia,Kenia,An Chéinia,Кения,קניה,केन्या,ケニア,肯尼亚
Kiribati,Kiribati,Rio Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Кирибати,קיריבטי,किरिबाती,キリバス,基里巴斯
Kuwait,Kuwait,Kuwait,Koweït,Kuwait,Koeweit,Cuáit,Кувейт,כוויית,कुवैत,クウェート,科威特
Kyrgyzstan,Kirguizistán,Quirguizistão,Kirghizistan,Kirgistan,Kirgizië,An Chirgeastáin,Киргизия,קירגיזסטן,किरगिज़स्तान,キルギス,吉尔吉斯斯坦
Laos,Laos,Laos,Laos,Laos,Laos,Laos,Лаос,לאוס,लाओस,ラオス,老挝
Latvia,Letonia,Letónia,Lettonie,Lettland,Letland,An Laitvia,Латвия,לטביה,लाटविया,ラトビア,拉托维亚
Lebanon,Líbano,Líbano,Liban,Libanon,Libanon,An Liobáin,Ливан,לבנון,लेबनान,レバノン,黎巴嫩
Lesotho,Lesotho,Lesoto,Lesotho,Lesotho,Lesotho,Leosóta,Лесото,לסוטו,लेसोथो,レソト,莱索托
Liberia,Liberia,Libéria,Libéria,Liberia,Liberia,An Libéir,Либерия,ליבריה,लाइबेरिया,リベリア,利比里亚
Libya,Libia,Líbia,Libye,Libyen,Libië,An Libia,Ливия,לוב,लीबिया,リビア,利比亚
Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Lichtinstéin,Лихтенштейн,ליכטנשטיין,लिचेंस्टीन,リヒテンシュタイン,列支敦士登
Lithuania,Lituania,Lituânia,Lituanie,Litauen,Litouwen,An Liotuáin,Литва,ליטא,लिथुआनिया,リトアニア,立陶宛
Luxembourg,Luxemburgo,Luxemburgo,Luxembourg,Luxemburg,Luxemburg,Lucsamburg,Люксембург,לוקסמבורג,लक्ज़म्बर्ग,ルクセンブルク,卢森堡
Macao,Macao,Macau,Macao,Macao,Macao,Macao,Макао,מקאו,मकाओ,マカオ,澳门
Madagascar,Madagascar,Madagáscar,Madagascar,Madagaskar,Madagaskar,Madagascar,Мадагаскар,מדגסקר,मेडागास्कर,マダガスカル,马达加斯加
Malawi,Malawi,Malawi,Malawi,Malawi,Malawi,An Mhaláiv,Малави,מלאווי,मलावी,マラウイ,马拉维
Malaysia,Malasia,Malásia,Malaisie,Malaysien,Maleisië,An Mhalaeisia,Малайзия,מלזיה,मलेशिया,マレーシア,马来西亚
Maldives,Maldivas,Maldivas,Maldives,Malediven,Maldiven,Oileáin Mhaildíbheacha,Мальдивы,האיים המלדיביים,मालदीव,モルディブ,马尔代夫
Mali,Malí,Rio Mali,Mali,Mali,Mali,Mailí,Мали,מאלי,माली,マリ,马里
Malta,Malta,Malta,Malte,Malta,Malta,Málta,Мальта,מלטה,माल्टा,マルタ,马耳他
Marshall Islands,Islas Marshall,Ilhas Marshall,Îles Marshall,Marshallinseln,Marshalleilanden,Oileáin Marshall,Маршалловы Острова,איי מרשל,मार्शल आइलैंड्स,マーシャル諸島,马绍尔群岛
Martinique,Martinica,Martinica,Martinique,Martinique,Martinique,Martinique,Мартиника,מרטיניק,मार्टीनिक,マルティニーク,马提尼克
Mauritania,Mauritania,Mauritânia,Mauritanie,Mauretanien,Mauritanië,An Mháratáin,Мавритания,מאוריטניה,मॉरिटानिया,モーリタニア,毛里塔尼亚
Mauritius,Mauricio,Ilha Maurícia,Maurice,Mauritius,Mauritius,Oileán Mhuirís,Маврикий,מאוריציוס,मॉरिशस,モーリシャス,毛里求斯
Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Майотта,מיוט (ייתכן ש,मैयट,マヨット 島,马约特
Mexico,México,México,Mexique,Mexiko,Mexico,Meicsiceo,Мексика,מקסיקו,मेक्सिको,メキシコ,墨西哥
Micronesia,Micronesia,Micronésia,Micronésie,Mikronesien,Micronesië,Micrinéise,Микронезия,מיקרונזיה,माइक्रोनेशिया,ミクロネシア,密克罗尼西亚
Moldova,Moldavia,Moldávia,Moldavie,Moldawien,Moldavië,An Mholdóiv,Молдова,מולדובה,मोल्दोवा,モルドバ,摩尔多瓦
Monaco,Mónaco,Mónaco,Monaco,Monaco,Monaco,Monacó,Монако,מונקו,मोनाको,モナコ,摩纳哥
Mongolia,Mongolia,Mongólia,Mongolie,Mongolei,Mongolië,An Mhongóil,Монголия,מונגוליה,मंगोलिया,モンゴル国,蒙古
Montenegro,Montenegro,Montenegro,Monténégro,Montenegro,Montenegro,Montainéagró,Черногория,מונטנגרו,मोंटेनेग्रो,モンテネグロ,黑山
Montserrat,Montserrat,Rio Montserrat,Montserrat,Montserrat,Montserrat,Montserrat,Монтсеррат,מונטסראט,मॉन्ट्सेराट,モントセラト,蒙特塞拉特
Morocco,Marruecos,Marrocos,Maroc,Marokko,Marokko,Maracó,Марокко,מרוקו,मोरक्को,モロッコ,摩洛哥
Mozambique,Mozambique,Moçambique,Mozambique,Mosambik,Mozambique,Mósaimbíc,Мозамбик,מוזמביק,मोज़ाम्बिक,モザンビーク,莫桑比克
Myanmar,Myanmar,Rio Myanmar,Myanmar,Myanmar,Myanmar,Maenmar,Мьянма,מיאנמר,म्यानमार,ミャンマー,缅甸
Namibia,Namibia,Namíbia,Namibie,Namibia,Namibië,An Namaib,Намибия,נמיביה,नामीबिया,ナミビア,纳米比亚
Nauru,Nauru,Rio Nauru,Nauru,Nauru,Nauru,Nauru,Науру,נאורו,नाउरु,ナウル,瑙鲁
Nepal,Nepal,Nepal,Népal,Nepal,Nepal,Neipeal,Непал,נפאל,नेपाल,ネパール,尼泊尔
Netherlands,Países Bajos,Países Baixos,Pays-Bas,Niederlande,Nederland,An Ísiltír,Нидерланды,הולנד,नीदरलैंड,オランダ,荷兰
New Caledonia,Nueva Caledonia,Nova Caledónia,Nouvelle-Calédonie,Neukaledonien,Nieuw-Caledonië,An Nua-Chaladóin,Новая Каледония,קלדוניה החדשה,न्यू कैलेडोनिया,ニューカレドニア,新喀里多尼亚
New Zealand,Nueva Zelanda,Nova Zelândia,Nouvelle-Zélande,Neuseeland,Nieuw-Zeeland,An Nua Shéalainn,Новая Зеландия,ניו זילנד,न्यूज़ीलैंड,ニュージーランド,新西兰
Nicaragua,Nicaragua,Nicarágua,Nicaragua,Nicaragua,Nicaragua,Nicearagua,Никарагуа,ניקרגואה,निकारागुआ,ニカラグア,尼加拉瓜
Niger,Níger,Rio Níger,Niger,Niger,Niger,An Nígir,Нигер,ניז׳ר,नाइजर,ニジェール,尼日尔
Nigeria,Nigeria,Nigéria,Nigéria,Nigeria,Nigeria,An Nigéir,Нигерия,ניגריה,नाइजीरिया,ナイジェリア,尼日利亚
Niue,Niue,Rio Niue,Nioué,Niue,Niue,Niue,Ниуэ,ניואה,नीयू,ニウエ,纽埃
North Korea,Corea del Norte,Coreia do Norte,Corée du Nord,Nordkorea,Noord-Korea,An Chóiré Thuaidh,Северная Корея,קוריאה הצפונית,उत्तर कोरिया,北朝鮮,朝鲜
Northern Mariana Islands,Islas Marianas del Norte,Ilhas Marianas do Norte,Îles Mariannes du Nord,Nördliche Marianen,Noordelijke Marianen,Oileáin Thuaisceart Mariana,Северные Марианские острова,איי מריאנה הצפוניים,उत्तरी मारियाना द्वीप समूह,北マリアナ諸島,北马里亚纳群岛
Norway,Noruega,Noruega,Norvège,Norwegen,Noorwegen,An Iorua,Норвегия,נורווגיה,नॉर्वे,ノルウェー,挪威
Oman,Omán,Omã,Oman,Oman,Oman,Óman,Оман,עומאן,ओमान,オマーン,阿曼
Pakistan,Pakistán,Paquistão,Pakistan,Pakistan,Pakistan,An Phacastáin,Пакистан,פקיסטן,पाकिस्तान,パキスタン,巴基斯坦
Palau,Palau,Palau,Palaos,Palau,Palau,An Palau,Палау,פלאו,पलाऊ,パラオ,帕劳
Panama,Panamá,Panamá,Panama,Panama,Panama,Panama,Панама,פנמה,पनामा,パナマ,巴拿马
Papua New Guinea,Papúa Nueva Guinea,Papua-Nova Guiné,Papouasie-Nouvelle-Guinée,Papua-neuguinea,Papoea-Nieuw-Guinea,Nua-Ghuine Phapua,Папуа-Новая Гвинея,פפואה גינאה החדשה,पापुआ न्यू गिनी,パプアニューギニア,巴布亚新几内亚
Paraguay,Paraguay,Paraguai,Paraguay,Paraguay,Paraguay,Paragua,Парагвай,פרגוואי,पैराग्वे,パラグアイ,巴拉圭
Peru,Perú,Peru,Pérou,Peru,Peru,Peiriú,Перу,פרו,पेरू,ペルー,秘鲁
Philippines,Filipinas,Filipinas,Philippines,Philippinen,Filipijnen,Na hOileáin Fhilipín,Филиппины,הפיליפינים,फ़िलिपींस,フィリピン,菲律宾
Poland,Polonia,Polónia,Pologne,Polen,Polen,An Pholainn,Польша,פולין,पोलैंड,ポーランド,波兰
Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,An Phortaingéil,Португалия,פורטוגל,पुर्तगाल,ポルトガル,葡萄牙
Puerto Rico,Puerto Rico,Porto Rico,Porto Rico,Puerto Rico,Puerto Rico,Pórtó Ríce,Пуэрто-Рико,פורטו ריקו,पर्टो रिको,プエルトリコ,波多黎各
Qatar,Qatar,Catar,Qatar,Katar,Qatar,Catar,Катар,קטאר,कतर,カタール,卡塔尔
Réunion,Reunión,Reunião,Réunion,Réunion,Réunion,Réunion,Реюньон,ראוניון (ראוניון),रौन,レユニオン,留尼汪
Romania,Rumania,Roménia,Roumanie,Rumänien,Roemenië,An Rómáin,Румыния,רומניה,रोमानिया,ルーマニア,罗马尼亚
Russia,Rusia,Rússia,Russie,Russland,Rusland,An Rúis,Россия,רוסיה,रूस,ロシア,俄罗斯
Rwanda,Ruanda,Ruanda,Rwanda,Ruanda,Rwanda,Ruanda,Руанда,רואנדה,रवांडा,ルワンダ,卢旺达
Saint Barthelemy,Saint Barthelemy,São Bartolomeu,Saint Barthélémy,Saint Barthelemy,Heilige Barthelemy,Naomh Barthelemy,Сэйнт Бартелеми,סנט ברתלמי,सेंट बार्थेलेमी,サン・バルテルミー島,圣巴特莱米
Saint Helena,Santa Elena,Santa Helena,Sainte-Hélène,St. Helena,Sint-Helena,Naomh Helena,Остров Святой Елены,סנט הלנה,सेंट हेलेना,セントヘレナ,圣赫勒拿
Saint Kitts & Nevis,Saint Kitts &amp; Nevis,São Cristóvão e Nevis,Saint Kitts-et-Nevis,St. Kitts & Nevis,Sint Kitts &amp; Nevis,Saint Kitts &amp; Nevis,Сент-Китс и Невис,סנט קיטס ונוויס,सेंट किट्स एंड नेविस,セントクリストファー・ネイビス,圣基茨和尼维斯
Saint Lucia,Santa Lucía,Santa Lúcia,Sainte-Lucie,St. Lucia,Saint Lucia,Naomh Lucia,Сент-Люсия,סנט לוסיה,सेंट लूसिया,セントルシア,圣卢西亚
Saint Martin,San Martín,São Martinho,Saint-Martin,Saint Martin,Sint Maarten,Naomh Máirtín,Сен-Мартен,סנט מרטין,सेंट मार्टिन,セント・マルタン,圣马丁
Saint Pierre & Miquelon,San Pedro y Miquelón,Saint Pierre & Miquelon,Saint Pierre et Miquelon,Saint Pierre & Miquelon,Sint-Pieters-Leeuw,Saint Pierre &amp; Miquelon,Сен-Пьер и Микелон,סנט פייר ומיקלון,सेंट पियरे और मिकेलॉन,サンピエール&ミクロン,圣皮埃尔和米克隆
Samoa,Samoa,Samoa,Samoa,Samoa,Samoa,Samó,Самоа,סמואה,समोआ,サモア,萨摩亚
San Marino,San Marino,São Marino,Saint-Marin,San Marino,San Marino,San Mairíne,Сан-Марино,סן מרינו,सान मारिनो,サンマリノ,圣马力诺
Sao Tome & Principe,Santo Tomé & Príncipe,São Tomé e Príncipe,Sao Tome & Principe,Sao Tome & Principe,Sao Tome &amp; Principe,Sao Tome &amp; Principe,Сан-Томе и Принсипи,סאו טומה ופרינסיפה,साओ टोम और प्रिंसिप,サントメ・プリンシペ,圣多美和普林西比
Saudi Arabia,Arabia Saudí,Arábia Saudita,Arabie Saoudite,Saudi-Arabien,Saudi-Arabië,An Araib Shádach,Саудовская Аравия,ערב הסעודית,सऊदी अरब,サウジアラビア,沙特阿拉伯
